Time,Ay,Bk_Stat,GearStat,Pitch,Roll,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xo,Xpreview,X_Design,X_L1,X_L2,X_R1,X_R2,X_Target,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yo,Ypreview,Y_Design,Y_L1,Y_L2,Y_R1,Y_R2,Y_Target,Zcg_SM,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0, -0.001776605636331, 0, 6, 2.01196759821, 0.1003533393543, 0.1004152438468, 1.106758026836, 1.59240579305, -0.90605217801, -1.391701064111, 0.005578097160298, 0.005604275657146, 0.005580043865404, 0.005602329682862, 0, 99.96459874838, 100, 100, 87.0358263826, 17.40704583707, 87.0358263826, 87.41006218464, 85.38402886262, 86.68118827237, 84.65269253849, 87.0358263826, -29.5003960789, -29.3391511782, -29.75648407427, -29.66868165321, -29.25138193968, -49.24190177042, -9.848591535138, -49.24190177042, -48.60407299563, -47.45486733685, -49.89214756663, -48.74729351113, -49.24190177042, 45.53908883468, 45.12341948914, 45.45451164932, 45.51633059392, 45.45191943629, 45.51372962341
0.025, -0.1162476174194, 0, 6, 2.009357791745, 0.07923951272002, 0.07928826601529, 1.016400159313, 1.634693246619, -1.033709805438, -1.471670801582, 0.3767731233801, 0.3764672503389, 0.3759496712423, 0.3763826750791, -15.96437753339, 99.96602746457, 100, 100.0011131534, 87.63979541357, 104.0121553878, 87.64004543442, 88.0146633768, 85.98832591467, 87.28459108424, 85.25678276862, 87.64004543442, -29.50987290854, -30.18531295402, -29.76868634656, -30.51338747975, -29.25921731338, -49.584206414, -58.85133401877, -49.58376452717, -48.946627684, -47.7967884201, -50.23402045684, -49.0890945313, -49.58376452717, 45.52064665561, 45.10502952681, 45.43582993972, 45.49761398854, 45.4338125929, 45.49535346246
0.05, -0.118320333324, 0, 6, 2.002134655341, 0.02963319837593, 0.02965129972263, 0.9735279692839, 1.606893140166, -1.072884965328, -1.51382281913, 0.747826776069, 0.7474977666698, 0.7464258753016, 0.7469103192085, -15.8042119557, 99.96459790315, 100, 99.99932196661, 88.24302778291, 104.6084652621, 88.24428399788, 88.6184828985, 86.5930189918, 87.88742310548, 85.86048891743, 88.24428399788, -29.55414567043, -30.23400217634, -29.81399762091, -30.56389844473, -29.30542193948, -49.92787087373, -59.2071138543, -49.9256507166, -49.29031930726, -48.13891569371, -50.5771533834, -49.43066430184, -49.9256507166, 45.50227181261, 45.08679949919, 45.41723157844, 45.47863267856, 45.41592320909, 45.47717865626
0.075, -0.1207881896353, 0, 6, 1.992557339287, -0.03014968215361, -0.03016792312983, 0.9294120526084, 1.579184319033, -1.109266236214, -1.546543980798, 1.119120144241, 1.118708804303, 1.116660728928, 1.117142969965, -15.51648364084, 99.96151164226, 100, 99.99596616161, 88.84552578049, 105.1984372647, 88.84851533201, 89.2219615665, 87.19807434573, 88.48914112562, 86.46377373599, 88.84851533201, -29.63282611506, -30.30774288352, -29.89587932623, -30.6382229454, -29.38764458963, -50.27282753313, -59.57399081004, -50.26754415086, -49.63547330882, -48.48129759787, -50.92131502796, -49.77204064753, -50.26754415086, 45.48396682224, 45.06868694394, 45.39874228365, 45.45973905671, 45.39796886444, 45.4590571536
0.1, -0.1325043113189, 0, 6, 1.98355478709, -0.08076105013315, -0.08080947097275, 0.8900275685388, 1.569411519268, -1.140280448636, -1.562257880982, 1.490595099925, 1.490045875617, 1.486687905916, 1.48711081304, -15.12573858182, 99.95654742982, 100, 99.99084152871, 89.44738035467, 105.7832369391, 89.45270784274, 89.82507381995, 87.80333207439, 89.08988271403, 87.06663445446, 89.45270784274, -29.73880204969, -30.39893770013, -30.00663062399, -30.72892025949, -29.49820469617, -50.61884080168, -59.94979856304, -50.60942589393, -49.98190973751, -48.82400781407, -51.26641209851, -50.11338279614, -50.60942589393, 45.4657234054, 45.05062474334, 45.38038412127, 45.44111858178, 45.37984759792, 45.44085507261
0.125, -0.1484810235942, 0, 6, 1.977079750745, -0.1155582297357, -0.1156270616901, 0.8600096370523, 1.57553792196, -1.161881163594, -1.562439881764, 1.862192888897, 1.86145997279, 1.8565461861, 1.856856410145, -14.65568247298, 99.94994968537, 100, 99.98418935583, 90.0486230432, 106.3639914892, 90.05683680485, 90.42776508437, 88.40859715987, 89.68975799196, 87.66904306585, 90.05683680485, -29.86508539588, -30.50254467248, -30.13722146253, -30.83129786006, -29.62901793288, -50.96579614804, -60.33244208045, -50.95128089485, -50.32950392614, -49.16716908314, -51.61240658797, -50.45490614405, -50.95128089485, 45.44752696857, 45.03255881129, 45.36208462653, 45.42273333595, 45.36161754997, 45.42259758344
0.15, -0.1653460471376, 0, 6, 1.973914617034, -0.1385952143898, -0.1386775040699, 0.8365081921177, 1.587666939468, -1.176863688133, -1.553528608161, 2.23386443036, 2.232912042004, 2.226270584083, 2.226432694997, -14.12609588275, 99.94186650852, 100, 99.97615217901, 90.64923737079, 106.941643862, 90.66088675731, 91.02996694104, 89.01367973081, 90.28883668155, 88.27095347294, 90.66088675731, -30.00574016729, -30.61430784776, -30.2807909367, -30.94165663816, -29.77352922222, -51.31368552851, -60.72017307085, -51.29309934422, -50.67819098664, -49.5109260313, -51.95930797979, -50.79683536157, -51.29309934422, 45.42935780694, 45.01445358884, 45.3437528446, 45.40445430376, 45.3433500586, 45.40436376566
0.175, -0.1811008060226, 0, 6, 1.973917253964, -0.157641588861, -0.157735187461, 0.8140565271081, 1.59714548597, -1.190635371887, -1.544476826032, 2.605570075261, 2.604376012768, 2.595891142537, 2.595899704628, -13.55351740827, 99.93290741843, 100, 99.96732704981, 91.24919134191, 107.5169892262, 91.26485000298, 91.63161156112, 89.61840924255, 90.88716456921, 88.87231341636, 91.26485000298, -30.15573059656, -30.73071731681, -30.43225728622, -31.05679181002, -29.92670103584, -51.66254645636, -61.11153213783, -51.6348758261, -51.02793932717, -49.85542440066, -52.30714689689, -51.1393820599, -51.6348758261, 45.41119152873, 44.9962875801, 45.32533010515, 45.3861637461, 45.3250802025, 45.38620028169
0.2, -0.1950409317009, 0, 6, 1.976430416226, -0.1785977770425, -0.1787040886361, 0.7889184943051, 1.599868297174, -1.20707169746, -1.540940565836, 2.977277546899, 2.975832728859, 2.965435724917, 2.96528637973, -12.952183127, 99.92345102544, 100, 99.95807598865, 91.8484611741, 108.0907233081, 91.86872236599, 92.23264013769, 90.22263872661, 91.48477832928, 89.47307326495, 91.86872236599, -30.31069697943, -30.84879177477, -30.58770781141, -31.17381549841, -30.08451663276, -52.01241668894, -61.5052681914, -51.976615626, -51.37873060252, -50.20079928886, -52.65595821274, -51.48273579782, -51.976615626, 45.3930022687, 44.9780482197, 45.30679993921, 45.36779999242, 45.30680370761, 45.36809538475
0.225, -0.2071746624275, 0, 6, 1.980671639541, -0.2033013704504, -0.2034229073452, 0.7606748799418, 1.595838107253, -1.227086503996, -1.543846979736, 3.348960855485, 3.347267063379, 3.334929098736, 3.334623534389, -12.3340122123, 99.91382554067, 100, 99.94869968, 92.4470370724, 108.6634394295, 92.47249936832, 92.8330045821, 90.82624607046, 92.08170856457, 90.07318990833, 92.47249936832, -30.46697242056, -30.96615277128, -30.74408257251, -31.29041482814, -30.24366344855, -52.36331614809, -61.90033846401, -52.31832762455, -51.73055212725, -50.54716676108, -53.00577384005, -51.82705737884, -52.31832762455, 45.37476677052, 44.95972803333, 45.28817928296, 45.34935711277, 45.28849551537, 45.3500007282
0.25, -0.2174602174963, 0, 6, 1.985866773287, -0.2303214294763, -0.2304598431779, 0.7315741206254, 1.587067294412, -1.249379219912, -1.551318631609, 3.720599768382, 3.718665936574, 3.704392911358, 3.703937559102, -11.70879618568, 99.90429764259, 100, 99.93942748922, 93.04492004667, 109.2356316282, 93.07618815169, 93.43266658757, 91.42913108644, 92.67798089789, 90.67262724741, 93.07618815169, -30.62155255667, -31.08132481069, -30.89880121712, -31.40522748316, -30.40126081457, -52.7152500876, -62.29589757823, -52.66000499682, -52.08339594793, -50.894623195, -53.35662228506, -52.17248035397, -52.66000499682, 45.35646911597, 44.94132665529, 45.26950714987, 45.33085602887, 45.27014222633, 45.33186267015
0.275, -0.2253337620492, 0, 6, 1.991207922418, -0.2568699693904, -0.2570251697833, 0.7047213142423, 1.575754082555, -1.271960880326, -1.560751508543, 4.092178763264, 4.090017507724, 4.073846388556, 4.073250027696, -11.08419319021, 99.89506794904, 100, 99.93043149692, 93.64211612531, 109.8076921143, 93.67979797926, 94.03159531475, 92.03121388082, 93.27361614403, 91.27135589715, 93.67979797926, -30.7720956646, -31.19199264236, -31.04946058572, -31.51555601457, -30.5548644758, -53.06821888306, -62.69129491288, -53.00164149706, -52.43725806172, -51.24324550562, -53.70853004956, -52.51911198296, -53.00164149706, 45.33810304303, 44.92285399794, 45.2508242294, 45.31231681385, 45.25174673506, 45.31364155768
0.3, -0.2308156367365, 0, 6, 1.995857849491, -0.2803804333529, -0.2805506314714, 0.6825696489432, 1.56404261252, -1.292687671824, -1.569887273544, 4.46368799873, 4.46131002813, 4.443304166505, 4.442577476209, -10.46558238504, 99.88626919211, 100, 99.92182386254, 94.23863190928, 110.3799049511, 94.28333913765, 94.62976872789, 92.6324356273, 93.86862754686, 91.86935351061, 94.28333913765, -30.91694431734, -31.29745618203, -31.19458167025, -31.62065769387, -30.70252379947, -53.42222458687, -63.08607766345, -53.34323146769, -52.79213859472, -51.5930903039, -54.06151947902, -52.8670316491, -53.34323146769, 45.31967025321, 44.90432849853, 45.23216053929, 45.2937477426, 45.23332250855, 45.29531715782
0.325, -0.2339389513665, 0, 6, 1.99909384828, -0.2993878487083, -0.2995701751153, 0.6662460982071, 1.553351823257, -1.310274200797, -1.577998530493, 4.835121359487, 4.8325376803, 4.812777659661, 4.811932385052, -9.85675100626, 99.87797495557, 100, 99.91365397554, 94.83447252996, 110.952476819, 94.88682153817, 95.22717185528, 93.23275465544, 94.46302500432, 92.4666046487, 94.88682153817, -31.05493428678, -31.39703798434, -31.3329533613, -31.71983748766, -30.84284235942, -53.77727114844, -63.47993214074, -53.68476904668, -53.14803710743, -51.94419675507, -54.4156070294, -53.21629561205, -53.68476904668, 45.30117929426, 44.88577314975, 45.21353480172, 45.2751523924, 45.21488994236, 45.27689638796
0.35, -0.2346436537645, 0, 6, 2.000515563504, -0.313619999383, -0.3138112651982, 0.6557121112455, 1.544070804547, -1.324357561156, -1.58556916958, 5.206474952652, 5.203698135311, 5.182276048133, 5.181324122052, -9.260538395857, 99.87024777879, 100, 99.90596695029, 95.42964168784, 111.5255680821, 95.49025325503, 95.82379639697, 93.83214269189, 95.05681837488, 93.06310040267, 95.49025325503, -31.18521121918, -31.49014940468, -31.46371022868, -31.81250562837, -30.97470079148, -54.13336100118, -63.87262735302, -54.02624733942, -53.50494881169, -52.29658921957, -54.77080110109, -53.56694137964, -54.02624733942, 45.28264620193, 44.86721199048, 45.19495858731, 45.25654089447, 45.19647238787, 45.25840937265
0.375, -0.2329105969617, 0, 6, 2.000069725271, -0.3235258387382, -0.323723057924, 0.6503159648366, 1.535939266079, -1.33513782935, -1.593356082817, 5.577746401178, 5.574790124227, 5.551806529312, 5.550759519389, -8.67912742496, 99.86312824015, 100, 99.89879581386, 96.02414398905, 112.0993065321, 96.09364080338, 96.41964118292, 94.43058349292, 95.65001947553, 93.65883833156, 96.09364080338, -31.30714992941, -31.57632129171, -31.58622661323, -31.89819434309, -31.09734258059, -54.49049069757, -64.2639893006, -54.36766067421, -53.86286237614, -52.65027748862, -55.12710044613, -53.91898870841, -54.36766067421, 45.2640934627, 44.84866856985, 45.17644231706, 45.23793004961, 45.17809181007, 45.23989246821
0.4, -0.2287440909136, 0, 6, 1.997927052836, -0.3297156155869, -0.3299161774682, 0.6492734776363, 1.528540121695, -1.342551919567, -1.601752818377, 5.948934756903, 5.945813201256, 5.921374299977, 5.920243270214, -8.114140018108, 99.85663700986, 100, 99.89217030747, 96.61798790613, 112.6737913404, 96.69698465458, 97.01471287695, 95.02807275708, 96.24264256248, 94.25382295349, 96.69698465458, -31.42032803946, -31.65556606466, -31.7000539518, -31.97723496258, -31.21038707145, -54.84864761707, -64.65389223801, -54.70901505847, -54.22175874131, -53.00525644339, -55.48449306272, -54.27243954543, -54.70901505847, 45.24554696127, 44.83016535094, 45.15799470338, 45.21934049652, 45.15976223364, 45.22137733198
0.425, -0.2223322020079, 0, 6, 1.994459575442, -0.3326185733198, -0.3328201990336, 0.6516522671361, 1.521601463897, -1.34640282501, -1.610600586296, 6.32004004362, 6.316767634675, 6.290983396573, 6.289778446341, -7.566699092253, 99.85077278959, 100, 99.88612118996, 97.21118728868, 113.2490975493, 97.30028154516, 97.60902563876, 95.62461771123, 96.83470543605, 94.84806618337, 97.30028154516, -31.52449671684, -31.7278739222, -31.80488382484, -32.04956821913, -31.3137344558, -55.2078078101, -65.04224960928, -55.05031712959, -54.58160953397, -53.36150629911, -55.84295620385, -54.62727869923, -55.05031712959, 45.22703079813, 44.81171896888, 45.13960948963, 45.20079376993, 45.14147823322, 45.20288735203
0.45, -0.2139437144899, 0, 6, 1.990306018725, -0.3324429732276, -0.3326436535997, 0.6565984450444, 1.515048887232, -1.34659940761, -1.61928930526, 6.691063065002, 6.68765434681, 6.660636800549, 6.659366939559, -7.037461885286, 99.84551554392, 100, 99.88066305987, 97.80376056069, 113.8252776966, 97.90352745518, 98.20260038225, 96.2202361916, 97.42622976201, 95.44158701845, 97.90352745518, -31.61956573451, -31.79298140575, -31.90054658037, -32.11457489063, -31.40738018554, -55.56793627302, -65.42901000915, -55.39157261129, -54.94237808867, -53.71899381531, -56.20245715216, -54.98347531273, -55.39157261129, 45.20856223709, 44.79333385959, 45.12126815535, 45.18230985708, 45.12322036638, 45.18443979079
0.475, -0.2038444980281, 0, 6, 1.986314176171, -0.3292948868317, -0.3294928698455, 0.6635562597491, 1.508747159398, -1.343047620469, -1.627365909001, 7.062005864789, 7.058474204772, 7.030336025442, 7.029009604085, -6.526613874726, 99.84085097422, 100, 99.87581180539, 98.39572958905, 114.4023559746, 98.5067174373, 98.79546444464, 96.81495639963, 98.01723971782, 96.03441091788, 98.5067174373, -31.70562891016, -31.85097327579, -31.98698279555, -32.17222126696, -31.49162083751, -55.9289895968, -65.81416571039, -55.7327866981, -55.3040224011, -54.07767356103, -56.56295450891, -55.34098386228, -55.7327866981, 45.19015032364, 44.7750020382, 45.10294917016, 45.16390424207, 45.10496672716, 45.16604833069
