Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16179568169e-06, 0.201136156917, 0.148473039269, -305.503967285, -247.189727783, 5829.84765625, -7.44618225098, 7.46281814575
       0.0005, 0.000614513992332, 0.203336507082, 0.148515284061, -308.532073975, -247.116012573, 5827.16699219, -7.49843502045, 7.50377511978
        0.001, 0.0012085060589, 0.205270454288, 0.148647531867, -308.071502686, -246.973449707, 5819.50830078, -7.57532167435, 7.48838949203
       0.0015, 0.00178185023833, 0.207028597593, 0.148828655481, -307.722351074, -246.835067749, 5810.18359375, -7.70201158524,  7.4563035965
        0.002, 0.00233287364244, 0.208623558283, 0.149055197835, -307.343597412, -246.664550781, 5799.92236328, -7.8689198494, 7.43833017349
       0.0025, 0.00285861152224, 0.210068717599, 0.149323135614,  -306.8074646, -246.53755188, 5788.49365234, -8.01877403259, 7.40245866776
        0.003, 0.00335821975023, 0.21137483418, 0.149628728628, -305.804992676, -246.376831055, 5777.28466797, -8.21266078949, 7.38143587112
       0.0035, 0.00383001891896, 0.212558358908, 0.149968653917, -304.159820557, -246.245300293, 5766.52392578, -8.36950778961, 7.35983037949
        0.004, 0.00427407259122, 0.213631093502, 0.150340020657, -301.387359619, -246.115249634, 5757.89013672, -8.52983188629, 7.32867956161
       0.0045, 0.00469006830826, 0.214611828327, 0.150740370154, -297.069610596, -246.00994873, 5750.18554688, -8.67991733551, 7.31654548645
        0.005, 0.00507831014693, 0.215508639812, 0.151167660952, -291.245269775, -245.970275879, 5744.49267578, -8.78992366791, 7.28984308243
       0.0055, 0.0054401201196, 0.216336637735, 0.151620075107, -283.52923584, -245.938049316, 5741.33740234, -8.90465068817, 7.27557706833
        0.006, 0.00577608728781, 0.217110946774, 0.152096241713, -273.855407715, -245.978607178, 5739.29882812, -8.97178936005, 7.26226472855
       0.0065, 0.00608831783757, 0.217836171389, 0.152595072985, -262.370574951, -246.061386108, 5739.42871094, -9.01174449921, 7.24687194824
        0.007, 0.00637787859887, 0.218525141478, 0.153115525842, -249.14982605, -246.188613892, 5740.43310547, -9.0392408371, 7.24100494385
       0.0075, 0.00664643803611, 0.219181507826, 0.153656899929, -234.298370361, -246.394836426,    5742.65625, -9.00440788269,   7.224401474
        0.008, 0.00689559290186, 0.219811826944, 0.154218494892, -217.880325317, -246.632080078, 5744.39648438, -8.97824192047, 7.21892786026
       0.0085, 0.00712604168802, 0.220413684845, 0.154799669981, -200.409606934, -246.965896606, 5745.61474609, -8.89256763458,  7.2091293335
        0.009, 0.00733903469518, 0.22098685801, 0.155399620533, -181.930099487, -247.334503174, 5746.75097656, -8.80748176575, 7.19908237457
       0.0095, 0.00753428693861, 0.221533671021, 0.156017631292, -162.671173096, -247.765090942,   5745.390625, -8.69884490967, 7.19540882111
         0.01, 0.00771204708144, 0.222043737769, 0.156652837992, -143.217498779, -248.25138855, 5742.68115234, -8.55258750916, 7.18796253204
