Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.0011014736956, 0.20111772418, 0.148498013616, 61.9425926208, -12.7095575333, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.00154620152898, 0.200609564781, 0.147747009993, 56.4884376526, -16.7905693054, 5092.67919922, -4.31612443924, -0.3369333148
        0.002, -0.00194768444635, 0.20043605566, 0.147526666522, 49.2055740356, -20.8183898926,    5092.59375, -4.27962732315, -0.16527095437
        0.003, -0.00230298237875,  0.2002684623, 0.147309973836,  40.576965332, -24.7628364563, 5092.51464844, -4.24386358261, 0.00304411770776
        0.004, -0.00260713277385, 0.200106456876, 0.147096842527, 30.8602714539, -28.6258296967, 5092.44287109, -4.20881700516, 0.168106898665
        0.005, -0.00285668112338, 0.199949622154, 0.146887093782, 20.3219509125, -32.4091453552, 5092.37939453, -4.17446899414, 0.329994380474
        0.006, -0.00304965092801, 0.199797526002, 0.146680548787, 9.23023319244, -36.1144523621, 5092.32421875, -4.14080238342, 0.488767296076
        0.007, -0.00318549270742, 0.199649766088, 0.146477088332, -2.15117907524, -39.7433128357, 5092.27783203, -4.10780096054, 0.644472420216
        0.008, -0.00326500181109, 0.199505925179, 0.146276548505, -13.5689144135, -43.2972106934, 5092.24023438, -4.07545042038, 0.797145307064
        0.009, -0.00329021294601, 0.199365615845, 0.146078824997, -24.785112381, -46.7775421143,  5092.2109375, -4.04373550415, 0.946812927723
         0.01, -0.00326427235268, 0.199228450656,  0.1458838135, -35.5819091797, -50.1856460571, 5092.18945312, -4.01264333725, 1.09349632263
        0.011, -0.00319129158743, 0.199094101787, 0.145691424608, -45.7651557922, -53.5228042603, 5092.17578125, -3.98216080666, 1.23721325397
        0.012, -0.00307619082741, 0.198962256312, 0.145501583815, -55.1673431396, -56.7902641296, 5092.16894531, -3.95227599144, 1.37798035145
