Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 8.36383362954e-18, -0, -8.36383362954e-18, -0, 0, 2.432902185872e-20, 0, -2.629323907209e-11, 0, -2.629323907209e-11, 0, -3.29522231126e-19, -0, 3.29522231126e-19, -0, 4705.658697437, 2654.825674813, 4705.658697437, 2654.825674813, 6, 0, 0, 0.1506696057217, -0, -0, -0, -0, -0, 0, 0, 0, 0, 0, 0, 0, 3.180543684351e-15, 0, -3.180543684351e-15, 0, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0, 0, 0, 0, 1, 120, 120, 120, 0.0008546452433101, -2.909135293117, 0.0008546452433101, -2.909135293117, 0, 0.0008546452433101, -2.909135293117, 16.66666666667, 0.0008546452433101, -2.909135293117, 0, 0, -3.195270793007e-15, 0, 3.195270793007e-15, 0, 0.8375, 0.8375, -0.8375, -0.8375, 0, 0.8375, 0.8375, 0, -0.8375, -0.8375, -0, -0, -0, -0, -0.00855730425281, 0.3164415720245, 0.3240939340492, 0, 0.3164415720245, 0.3240939340492
0.025, -0.0004739076713231, 0.0003516402087003, 0.0004739076713229, -0.0003516402086886, 4.229005772451e-15, -3.877950319699e-16, 0, -29.30964393442, -14.58534914665, -29.30964393442, -14.58534914665, 0.378942677142, -0.2124710698134, -0.3789426771416, 0.2124710698073, 4687.875922975, 2659.398280475, 4687.875922975, 2659.398280475, 6, 0, -8.721964415795e-19, 0.1479306698059, -0, -0, -0, -0, -0, -6.260270156222e-17, 0, 0, 0, 0, 0, -6.260291022043e-17, -0.0005088177714873, 0.0003660162279761, 0.0005088177714872, -0.0003660162279765, 0.4083855560449, 0.4083983879362, 0.4083855560449, 0.4083983879362, 0.8332540316203, 0.0002919159484006, -0.0002919159484006, -5.41817328121e-16, 1, 119.9694695654, 120, 119.9690474681, 0.8340904563374, -2.075898176878, 0.8340904563374, -2.075898176878, 0.8332540316203, 0.834090456323, -2.075898176884, 17.49562173553, 0.834090456323, -2.075898176884, 3.425043764304e-17, 0, 0.0002932306293212, -0.0001586793972846, -0.0002932306293211, 0.0001586793972719, 0.8374983368451, 0.8375019144769, -0.8374983368451, -0.8375019144769, -8.721964415795e-19, 0.8375011476081, 0.8374998442128, 0, -0.8375011476081, -0.8374998442128, -0, -0, -0, -0, -0.008449549613876, 0.3165079256481, 0.3240768720812, 0, 0.3165079256481, 0.3240768720812
0.05, -0.001378661958522, 0.0008357002877862, 0.001378661958522, -0.0008357002877761, 1.063231765473e-14, -3.284731757241e-16, 0, -38.36455937239, -14.7300434122, -38.36455937239, -14.7300434122, 1.327484072756, -0.5771376675974, -1.327484072757, 0.577137667593, 4637.892409234, 2669.243276014, 4637.892409234, 2669.243276014, 6, 0, -2.784044694083e-18, 0.1409656876923, -0, -0, -0, -0, -0, -2.661335813409e-16, 0, 0, 0, 0, 0, -2.661343868164e-16, -0.001753775250016, 0.001113829903211, 0.001753775250015, -0.001113829903212, 0.8162146368403, 0.8162562329245, 0.8162146368403, 0.8162562329245, 1.666326006282, 0.0009680337621421, -0.0009680337621421, -3.799812475577e-15, 1, 119.9372179434, 120, 119.9365444869, 1.667121056619, -1.242865612334, 1.667121056619, -1.242865612334, 1.666326006282, 1.667121056454, -1.242865612387, 18.32417940724, 1.667121056454, -1.242865612387, 2.20319004375e-16, 0, 0.000972351540909, -0.000481937537491, -0.0009723515409085, 0.0004819375374787, 0.8374942511621, 0.8375058268819, -0.8374942511621, -0.8375058268819, -2.784044694083e-18, 0.8375039449102, 0.8374995275419, 0, -0.8375039449102, -0.8374995275419, -0, -0, -0, -0, -0.008161673782644, 0.3166944311605, 0.3240401369686, 0, 0.3166944311605, 0.3240401369686
0.075, -0.002943234031681, 0.001312230733489, 0.002943234031667, -0.00131223073348, 1.481885128021e-14, -2.7233150877e-16, 0, -47.48141162273, -14.36853537731, -47.48141162276, -14.36853537731, 3.156328186291, -1.033022900429, -3.156328186291, 1.033022900425, 4583.733026238, 2672.196431023, 4583.733026238, 2672.196431023, 6, 0, -4.569122301142e-18, 0.1321699167232, -0, -0, -0, -0, -0, -5.458769055528e-16, 0, 0, 0, 0, 0, -5.458783579509e-16, -0.004124130996496, 0.002166094005221, 0.004124130996494, -0.002166094005223, 1.223900747223, 1.224006968088, 1.223900747223, 1.224006968088, 2.499186470405, 0.002255035308169, -0.002255035308156, -9.75233718015e-15, 1, 119.9038555627, 120, 119.9031592328, 2.499928486516, -0.4100546811259, 2.499928486516, -0.4100546811259, 2.499186470405, 2.499928485615, -0.410054681326, 19.15240303052, 2.499928485615, -0.410054681326, 5.505686141306e-16, 0, 0.002264554871242, -0.0009357695698263, -0.002264554871229, 0.0009357695698146, 0.8374863982642, 0.8375113311832, -0.8374863982642, -0.8375113311832, -4.569122301142e-18, 0.8375092083693, 0.8374990811094, 0, -0.8375092083693, -0.8374990811094, -0, -0, -0, -0, -0.007766871821626, 0.3168965177379, 0.3240291175631, 0, 0.3168965177379, 0.3240291175631
0.1, -0.004987747584219, 0.001426374459196, 0.004987747584217, -0.001426374459189, 1.98134834863e-14, 4.04225558359e-17, 0, -52.86766378339, -14.05130566761, -52.86766378339, -14.05130566761, 5.824357878433, -1.274661532581, -5.824357878431, 1.27466153258, 4545.592198606, 2664.190709011, 4545.592198606, 2664.190709011, 6, 0, -6.335359103157e-18, 0.123964304258, -0, -0, -0, -0, -0, -8.995303903654e-16, 0, 0, 0, 0, 0, -8.995324957659e-16, -0.007504651596731, 0.002945637805351, 0.007504651596729, -0.002945637805353, 1.631443782696, 1.631643653881, 1.631443782696, 1.631643653881, 3.331806955215, 0.004094031098962, -0.004094031098962, -1.744214827493e-14, 1, 119.8696609225, 120, 119.8691044239, 3.332498345794, 0.42251938079, 3.332498345794, 0.42251938079, 3.331806955215, 3.332498342815, 0.4225193804206, 19.98029368076, 3.332498342815, 0.4225193804206, 9.754162275639e-16, 0, 0.004110277660263, -0.00127049453648, -0.004110277660261, 0.001270494536469, 0.8374750481928, 0.8375154125674, -0.8374750481928, -0.8375154125674, -6.335359103157e-18, 0.837516574218, 0.8374987523453, 0, -0.837516574218, -0.8374987523453, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.00735045766964, 0.3170388323603, 0.3240589894635, 0, 0.3170388323603, 0.3240589894635
0.125, -0.007202437637749, 0.001066335172736, 0.007202437637747, -0.001066335172742, 2.386518179715e-14, 1.518995623847e-16, 0, -53.8701664023, -13.89437674108, -53.8701664023, -13.89437674108, 8.983110668106, -1.111655978086, -8.983110668103, 1.111655978086, 4529.612591707, 2650.648597548, 4529.612591707, 2650.648597548, 6, 0, -4.939715328485e-18, 0.1175973108248, -0, -0, -0, -0, -0, -1.200471874174e-15, 0, 0, 0, 0, 0, -1.200474402728e-15, -0.01141212058672, 0.002911121986861, 0.01141212058672, -0.002911121986863, 2.038854770293, 2.039161169399, 2.038854770293, 2.039161169399, 4.164172273301, 0.006227220480256, -0.006227220480256, -2.780845863529e-14, 1, 119.835128552, 120, 119.8347512167, 4.164823102208, 1.254847872615, 4.164823102208, 1.254847872615, 4.164172273301, 4.164823095318, 1.254847872255, 20.80788772006, 4.164823095318, 1.254847872255, 1.533604425956e-15, 0, 0.006250656553763, -0.001253603392063, -0.00625065655376, 0.001253603392066, 0.8374617242067, 0.8375152417389, -0.8374617242067, -0.8375152417389, -4.939715328485e-18, 0.8375248835852, 0.8374987741674, 0, -0.8375248835852, -0.8374987741674, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.006975132554804, 0.3170984541887, 0.3241095197401, 0, 0.3170984541887, 0.3241095197401
0.15, -0.009311014182734, 0.0004151449854095, 0.009311014182717, -0.0004151449854175, 2.545099086132e-14, 3.019833475151e-16, 0, -51.18977563652, -13.91143295626, -51.18977563652, -13.91143295626, 12.20587776869, -0.6156379555253, -12.20587776869, 0.6156379555264, 4531.547932144, 2640.036070344, 4531.547932144, 2640.036070344, 6, 0, -8.330396313993e-19, 0.1130218655135, -0, -0, -0, -0, -0, -1.42105471073e-15, 0, 0, 0, 0, 0, -1.421057475514e-15, -0.01531680164137, 0.00200788585514, 0.01531680164137, -0.002007885855143, 2.446148297822, 2.446558205632, 2.446148297822, 2.446558205632, 4.996282148385, 0.008367673777507, -0.008367673777495, -3.948184198381e-14, 1, 119.8007298411, 120, 119.8004784639, 4.996902763024, 2.086930156262, 4.996902763024, 2.086930156262, 4.996282148385, 4.9969027506, 2.08693015609, 21.63523749059, 4.9969027506, 2.08693015609, 2.152047703363e-15, 0, 0.008397904076406, -0.0008628910275922, -0.008397904076389, 0.0008628910275965, 0.8374482022383, 0.8375105245118, -0.8374482022383, -0.8375105245118, -8.330396313993e-19, 0.8375329697996, 0.837499164959, 0, -0.8375329697996, -0.837499164959, -0, -0, -0, -0, -0.006668084679393, 0.3170912277288, 0.3241491189415, 0, 0.3170912277288, 0.3241491189415
0.175, -0.01115478189947, -0.0002147874931289, 0.01115478189945, 0.0002147874931329, 2.401517166639e-14, 1.32631422543e-16, 0, -46.0085592505, -14.05461094769, -46.0085592505, -14.05461094771, 15.15199122474, -0.03096236434527, -15.15199122474, 0.03096236434696, 4542.871360969, 2637.313468562, 4542.871360969, 2637.313468562, 6, 0, 5.436643653511e-18, 0.109501006531, -0, -0, -0, -0, -0, -1.576680589479e-15, 0, 0, 0, 0, 0, -1.576683468902e-15, -0.01884878701049, 0.0006653382580288, 0.01884878701048, -0.0006653382580319, 2.853337729368, 2.85383649809, 2.853337729368, 2.85383649809, 5.828145299012, 0.01031146610575, -0.01031146610574, -5.129903627273e-14, 1, 119.7668193519, 120, 119.7666141478, 5.828742228259, 2.918771249868, 5.828742228259, 2.918771249868, 5.828145299012, 5.828742209423, 2.918771249849, 22.46239726398, 5.828742209423, 2.918771249849, 2.769157534737e-15, 0, 0.01034750789939, -0.0002840042599889, -0.01034750789938, 0.0002840042599817, 0.8374357974731, 0.8375034973811, -0.8374357974731, -0.8375034973811, 5.436643653511e-18, 0.8375400981508, 0.8374997331323, 0, -0.8375400981508, -0.8374997331323, -0, -0, -0, -0, -0.006427101145091, 0.317048970303, 0.3241592780805, 0, 0.317048970303, 0.3241592780805
0.2, -0.01269892353808, -0.0005889849010961, 0.01269892353808, 0.0005889849010858, 2.810851129418e-14, 4.634378953235e-16, 0, -39.58010969017, -14.25390271544, -39.58010969017, -14.25390271544, 17.64149094004, 0.4027909741667, -17.64149094004, -0.4027909741629, 4555.759853017, 2641.84906277, 4555.759853017, 2641.84906277, 6, 0, 1.393712419519e-17, 0.1062915083781, -0, -0, -0, -0, -0, -1.65229107996e-15, 0, 0, 0, 0, 0, -1.652293923171e-15, -0.02185887380959, -0.0005354420445687, 0.02185887380958, 0.0005354420445655, 3.260432716319, 3.260999257026, 3.260432716319, 3.260999257026, 6.659772476285, 0.01197370368356, -0.01197370368356, -6.364395348982e-14, 1, 119.733609927, 120, 119.7333950211, 6.660348154823, 3.750378367956, 6.660348154823, 3.750378367956, 6.659772476285, 6.660348129464, 3.750378367944, 23.28941067365, 6.660348129464, 3.750378367944, 3.410085771487e-15, 0, 0.01201427553609, 0.0002327865874518, -0.01201427553608, -0.000232786587445, 0.837425094315, 0.8374972023943, -0.837425094315, -0.8374972023943, 1.393712419519e-17, 0.8375460331053, 0.837500231578, 0, -0.8375460331053, -0.837500231578, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -0.006234593606575, 0.3170008730012, 0.3241423542292, 0, 0.3170008730012, 0.3241423542292
0.225, -0.01399151538383, -0.0006492581922483, 0.01399151538384, 0.0006492581922376, 2.443356278713e-14, 4.660509015185e-16, 0, -31.80727757723, -14.46153025985, -31.80727757723, -14.46153025985, 19.63394518143, 0.5720164225258, -19.63394518142, -0.5720164225222, 4565.493107281, 2649.531006156, 4565.493107281, 2649.531006156, 6, 0, 2.543907284419e-17, 0.1030002403466, -0, -0, -0, -0, -0, -1.641370557312e-15, 0, 0, 0, 0, 0, -1.641373209525e-15, -0.02437565863166, -0.001204927677554, 0.02437565863165, 0.001204927677551, 3.667439482188, 3.668049875201, 3.667439482188, 3.668049875201, 7.49117238761, 0.01336712547254, -0.01336712547255, -7.649771941506e-14, 1, 119.7012102083, 120, 119.7009677602, 7.49172700111, 4.581758448003, 7.49172700111, 4.581758448003, 7.49117238761, 7.491726969547, 4.581758447942, 24.11630679874, 7.491726969547, 4.581758447942, 4.064119763557e-15, 0, 0.01341096707931, 0.0005200787460101, -0.01341096707931, -0.000520078746002, 0.8374160461526, 0.8374936876847, -0.8374160461526, -0.8374936876847, 2.543907284419e-17, 0.8375508941287, 0.8375005037811, 0, -0.8375508941287, -0.8375005037811, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.006070304276389, 0.3169645492733, 0.3241136902039, 0, 0.3169645492733, 0.3241136902039
0.25, -0.01511383649366, -0.0004770913355313, 0.01511383649366, 0.0004770913355329, 2.22843789087e-14, 4.606391449868e-16, 0, -22.9939140146, -14.67550536565, -22.9939140146, -14.67550536565, 21.18965275974, 0.4996259760199, -21.18965275974, -0.4996259760166, 4570.457229681, 2656.317568248, 4570.457229681, 2656.317568248, 6, 0, 3.894112181899e-17, 0.09955359008126, -0, -0, -0, -0, -0, -1.512182680029e-15, 0, 0, 0, 0, 0, -1.512184962701e-15, -0.02652224405962, -0.001271553638229, 0.02652224405962, 0.001271553638227, 4.074367756833, 4.074991621129, 4.074367756833, 4.074991621129, 8.32235213352, 0.01455798253897, -0.01455798253897, -8.813445569704e-14, 1, 119.6698480192, 120, 119.669583589, 8.322885301411, 5.412918250629, 8.322885301411, 5.412918250629, 8.32235213352, 8.322885264015, 5.412918250561, 24.94312763199, 8.322885264015, 5.412918250561, 4.646191805627e-15, 0, 0.01460408796775, 0.0005475861907771, -0.01460408796774, -0.0005475861907806, 0.8374082498047, 0.8374933341054, -0.8374082498047, -0.8374933341054, 3.894112181899e-17, 0.8375549642769, 0.837500526533, 0, -0.8375549642769, -0.837500526533, -0, -0, -0, -0, -0.005918135840123, 0.316946021156, 0.3240883672028, 0, 0.316946021156, 0.3240883672028
0.275, -0.01614185149874, -0.0001677099530091, 0.01614185149873, 0.0001677099529976, 1.952991271537e-14, 3.879841936854e-16, 0, 2.906302399473, -15.09399119187, 2.906302399473, -15.09399119187, 22.23362810127, 0.2722134718533, -22.23362810127, -0.2722134718503, 4570.994230939, 2660.495920158, 4570.994230939, 2660.495920158, 6, 0, 5.435406385982e-17, 0.09598370207754, -0, -0, -0, -0, -0, -1.313281421462e-15, 0, 0, 0, 0, 0, -1.313283264262e-15, -0.02844366318095, -0.0008812568504031, 0.02844366318095, 0.0008812568504007, 4.481242856895, 4.481828192116, 4.481242856895, 4.481828192116, 9.153319943241, 0.01561954079135, -0.01561954079135, -9.879931210766e-14, 1, 119.6402222575, 120, 119.6399350127, 9.153832078367, 6.243865986828, 9.153832078367, 6.243865986828, 9.153319943241, 9.153832035342, 6.243865986795, 25.7699775839, 9.153832035342, 6.243865986795, 5.168748333376e-15, 0, 0.01566721247966, 0.0003785997618616, -0.01566721247965, -0.0003785997618512, 0.83740119673, 0.8374953775295, -0.83740119673, -0.8374953775295, 5.435406385982e-17, 0.8375585390197, 0.8375003620389, 0, -0.8375585390197, -0.8375003620389, -0, 5.551115123126e-17, -0, 5.551115123126e-17, -0.005767644621729, 0.3169440123219, 0.324072776379, 0, 0.3169440123219, 0.324072776379
0.3, -0.01714348420263, 0.0002857249023958, 0.01714348420262, -0.000285724902395, 1.875350812415e-14, 4.087229087492e-16, 0, 53.54415959569, -16.05180212153, 53.54415959569, -16.05180212153, 24.79889932226, -0.08214379620059, -24.79889932226, 0.08214379620325, 4567.216662383, 2664.28772176, 4567.216662383, 2664.28772176, 6, 0, 7.185024610918e-17, 0.09199347519024, -0, -0, -0, -0, -0, -1.030087848543e-15, 0, 0, 0, 0, 0, -1.030089176285e-15, -0.03027898908002, -0.0001353017858694, 0.03027898908001, 0.0001353017858674, 4.888164587092, 4.888568137584, 4.888164587092, 4.888568137584, 9.984100219131, 0.01662257114885, -0.01662257114885, -1.087224104415e-13, 1, 119.6152694938, 120, 119.6149187667, 9.984590336176, 7.074624196658, 9.984590336176, 7.074624196658, 9.984100219131, 9.984590287438, 7.074624196657, 26.59728338118, 9.984590287438, 7.074624196657, 5.645021154862e-15, 0, 0.01667120823171, 5.6757145153e-05, -0.0166712082317, -5.675714515443e-05, 0.8373944694189, 0.8374992847581, -0.8373944694189, -0.8374992847581, 7.185024610918e-17, 0.8375619716589, 0.8375000500102, 0, -0.8375619716589, -0.8375000500102, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.005608119682853, 0.3169581025224, 0.324058627903, 0, 0.3169581025224, 0.324058627903
0.325, -0.01819685434702, 0.0009831585491214, 0.01819685434703, -0.0009831585491211, 1.929128304669e-14, 4.613522454636e-16, 0, 109.7951400819, -17.23805375582, 109.7951400819, -17.23805375581, 26.66327680028, -0.6227737445669, -26.66327680027, 0.6227737445714, 4558.769963626, 2671.565019297, 4558.769963626, 2671.565019297, 6, 0, 9.248366022994e-17, 0.08702365938748, -0, -0, -0, -0, -0, -6.334970398151e-16, 0, 0, 0, 0, 0, -6.33497770524e-16, -0.03215262878603, 0.001038550775139, 0.03215262878603, -0.00103855077514, 5.295199925476, 5.295229656714, 5.295199925476, 5.295229656714, 10.81473790263, 0.01764751265689, -0.0176475126569, -1.184797468336e-13, 1, 119.5967653157, 120, 119.5963088338, 10.81520076366, 7.905234725046, 10.81520076366, 7.905234725046, 10.81473790263, 10.81520070872, 7.905234725, 27.42533635177, 10.81520070872, 7.905234725, 6.102237738199e-15, 0, 0.01769636805323, -0.0004491373421552, -0.01769636805324, 0.0004491373421546, 0.8373875129602, 0.8375054292643, -0.8373875129602, -0.8375054292644, 9.248366022994e-17, 0.8375653977899, 0.8374995558276, 0, -0.8375653977899, -0.8374995558276, -0, -0, -0, -0, -0.005428432507712, 0.3169896144031, 0.3240314737554, 0, 0.3169896144031, 0.3240314737554
0.35, -0.01935749955759, 0.002022692965694, 0.01935749955759, -0.002022692965694, 1.707525146826e-14, 5.349403647613e-16, 0, 160.5419563724, -18.35480706311, 160.5419563724, -18.35480706311, 28.38391800771, -1.449508653904, -28.38391800771, 1.449508653909, 4546.638493164, 2682.929641783, 4546.638493164, 2682.929641783, 6, 0, 1.172951185466e-16, 0.08078659351452, -0, -0, -0, -0, -0, -1.043561195458e-16, 0, 0, 0, 0, 0, -1.043562232799e-16, -0.03416965439582, 0.002841337247974, 0.03416965439583, -0.002841337247974, 5.702369206493, 5.701835228349, 5.702369206493, 5.701835228349, 11.64528072623, 0.01875756329141, -0.01875756329142, -1.287116164294e-13, 1, 119.5846153257, 120, 119.5840491076, 11.64570879422, 8.735743942199, 11.64570879422, 8.735743942199, 11.64528072623, 11.64570873216, 8.735743941856, 28.25417643562, 11.64570873216, 8.735743941856, 6.569326171365e-15, 0, 0.01880576091323, -0.001225326836793, -0.01880576091322, 0.001225326836793, 0.8373799483444, 0.8375148542526, -0.8373799483444, -0.8375148542526, 1.172951185466e-16, 0.8375690193875, 0.8374987874111, 0, -0.8375690193875, -0.8374987874111, -0, -0, -0, -0, -0.005224011826107, 0.3170348746172, 0.3239890681024, 0, 0.3170348746172, 0.3239890681024
0.375, -0.02064479315831, 0.003385317570238, 0.02064479315832, -0.003385317570237, 1.441707286078e-14, 2.937392280841e-16, 0, 201.3584467869, -19.25874106181, 201.3584467868, -19.25874106181, 30.20869736706, -2.591977798451, -30.20869736706, 2.591977798455, 4533.306209465, 2695.344983319, 4533.306209465, 2695.344983319, 6, 0, 1.455323934917e-16, 0.07351087303472, -0, -0, -0, -0, -0, 5.982346380339e-16, 0, 0, 0, 0, 0, 5.982351304131e-16, -0.03638753565549, 0.005391342070862, 0.0363875356555, -0.005391342070861, 6.10966570114, 6.108405640645, 6.10966570114, 6.108405640645, 12.47576770793, 0.01998726264456, -0.01998726264458, -1.378475609776e-13, 1, 119.5778501264, 120, 119.5772124469, 12.47615444803, 9.5661923587, 12.47615444803, 9.5661923587, 12.47576770793, 12.47615437762, 9.566192357464, 29.08371388111, 12.47615437762, 9.566192357464, 6.965075409423e-15, 0, 0.02003396457881, -0.002321638081303, -0.02003396457882, 0.002321638081304, 0.8373715591869, 0.8375281637806, -0.8373715591869, -0.8375281637806, 1.455323934917e-16, 0.8375729340291, 0.8374976818473, 0, -0.8375729340291, -0.8374976818473, -0, -0, -0, -0, -0.004999669311997, 0.3170846143781, 0.3239427411654, 0, 0.3170846143781, 0.3239427411654
0.4, -0.02203725612742, 0.00493681774836, 0.02203725612741, -0.004936817748372, 1.020755397308e-14, 2.258326138454e-16, 0, 232.4822445475, -19.93364033743, 232.4822445475, -19.93364033743, 32.188797847, -3.963480986313, -32.188797847, 3.963480986315, 4521.584935741, 2705.097589059, 4521.584935741, 2705.097589059, 6, 0, 1.757023020155e-16, 0.06577575113991, -0, -0, -0, -0, -0, 1.444103500858e-15, 0, 0, 0, 0, 0, 1.444104452459e-15, -0.03879760132383, 0.00857939424587, 0.03879760132383, -0.008579394245867, 6.517071559969, 6.514957459968, 6.517071559969, 6.514957459968, 13.30622699518, 0.02133246955503, -0.02133246955503, -1.453656153589e-13, 1, 119.5752921309, 120, 119.574638291, 13.30656915641, 10.39661132503, 13.30656915641, 10.39661132503, 13.30622699518, 13.30656907629, 10.3966113219, 29.9138156467, 13.30656907629, 10.3966113219, 7.265692236149e-15, 0, 0.0213770234147, -0.003689669973365, -0.02137702341469, 0.003689669973379, 0.8373623698188, 0.8375447709546, -0.8373623698188, -0.8375447709546, 1.757023020155e-16, 0.8375771119882, 0.8374962696461, 0, -0.8375771119882, -0.8374962696461, -0, -0, -0, -0, -0.004766659119967, 0.317128341713, 0.3239063486484, 0, 0.317128341713, 0.3239063486484
0.425, -0.02348495301059, 0.006512601917302, 0.02348495301059, -0.006512601917303, 1.337756630746e-14, 7.100573416202e-16, 0, 255.5206309617, -20.4224091714, 255.5206309618, -20.4224091714, 34.29614358972, -5.412564273814, -34.29614358972, 5.412564273818, 4513.292551527, 2710.498737437, 4513.292551527, 2710.498737438, 6, 0, 2.067936682839e-16, 0.0581662906798, -0, -0, -0, -0, -0, 2.27033117488e-15, 0, 0, 0, 0, 0, 2.270332344802e-15, -0.04133301359566, 0.01211477519576, 0.04133301359567, -0.01211477519576, 6.924567999607, 6.921503058974, 6.924567999607, 6.921503058974, 14.136678876, 0.02275557627018, -0.0227555762702, -1.519458485726e-13, 1, 119.5758905436, 120, 119.5752641601, 14.13697665327, 11.22702411746, 14.13697665327, 11.22702411746, 14.136678876, 14.13697656224, 11.22702411124, 30.7443544538, 14.13697656224, 11.22702411124, 7.515307539501e-15, 0, 0.02279754901262, -0.005203524677406, -0.02279754901262, 0.005203524677408, 0.8373526263533, 0.8375631480823, -0.8373526263533, -0.8375631480823, 2.067936682839e-16, 0.8375814241796, 0.8374946647058, 0, -0.8375814241796, -0.8374946647058, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.004537079609529, 0.317159273624, 0.3238861915007, 0, 0.317159273624, 0.3238861915007
