Time,Station,VxTarget
            0,          -160,            80
          0.2, -155.557739258, 77.5359268188
          0.4, -151.130523682, 76.1061096191
          0.6, -146.755325317, 75.0018005371
          0.8, -142.446792603, 73.8983306885
            1, -138.207809448, 72.7964248657
          1.2, -134.039321899, 71.6963882446
          1.4, -129.941864014, 70.5984039307
          1.6, -125.915718079, 69.5026245117
          1.8, -121.961051941, 68.4092102051
            2, -118.077949524, 67.3183059692
          2.2, -114.266441345, 66.2300720215
          2.4, -110.526451111, 65.1446838379
          2.6, -106.85785675, 64.0623245239
          2.8, -103.260429382,  62.983215332
            3, -99.733833313, 61.9075927734
          3.2, -96.2776107788, 60.8339271545
          3.4, -92.8912811279, 59.7618026733
          3.6, -89.5806274414,  58.695148468
          3.8, -86.3458938599, 57.6347198486
            4, -83.1447677612,  56.566986084
          4.2, -79.9606399536, 55.4861221313
          4.4, -76.8018188477,  54.387298584
          4.6, -73.6794509888,  53.279838562
          4.8, -70.6044769287, 52.1680450439
            5, -67.5857772827, 51.0557022095
          5.2, -64.6295776367, 49.9387512207
          5.4, -61.7398376465, 48.8201217651
          5.6, -58.9189720154, 47.7067565918
          5.8, -56.1684036255, 46.5990066528
            6, -53.4889831543, 45.4836196899
          6.2, -50.8812179565, 44.3776473999
          6.4, -48.3453636169, 43.2788162231
          6.6, -45.8814926147, 42.1727104187
          6.8, -43.4909973145, 41.0829467773
            7, -41.1857528687, 39.9945716858
          7.2, -38.9570617676, 38.9175415039
          7.4, -36.7951431274, 37.8454284668
          7.6, -34.7003555298, 36.7705039978
          7.8, -32.6721038818, 35.7083358765
            8, -30.7096157074,  34.637966156
          8.2, -28.8120517731,   33.58152771
          8.4, -26.9584884644, 32.5076904297
          8.6, -25.1198806763, 31.4101161957
          8.8, -23.3033237457, 30.2905540466
            9, -21.5201759338, 29.1361217499
          9.2, -19.7826519012, 27.9968967438
          9.4, -18.1076698303,  26.802066803
          9.6, -16.5190067291, 25.6688117981
          9.8, -14.9935979843, 24.4886684418
           10, -13.5282230377, 23.3093852997
         10.2, -12.129907608, 22.1840705872
         10.4, -10.8010597229, 20.9475097656
         10.6, -9.5439748764,  19.760597229
         10.8, -8.36054134369, 18.6432228088
           11, -7.2774772644, 17.4368095398
         11.2, -6.31744098663, 16.2861366272
         11.4, -5.41638040543, 15.2061491013
         11.6, -4.56841659546, 14.1898031235
         11.8, -3.77905464172, 13.2789402008
           12, -3.03890156746, 12.5098829269
         12.2, -2.33434200287, 11.7778100967
         12.4, -1.63550615311, 11.0516834259
         12.6, -0.948607087135, 10.3379602432
         12.8, -0.279643267393, 9.64287185669
           13, 0.373237967491, 9.65495681763
         13.2, 1.00883793831, 10.1703462601
         13.4, 1.64077568054, 10.6827669144
         13.6, 2.34453368187, 11.2534246445
         13.8,     3.1206882, 11.8827857971
           14, 3.92566156387, 12.5355167389
         14.2, 4.70669937134, 13.3302774429
         14.4, 5.50298309326,  14.157866478
         14.6, 6.33048152924, 15.0178976059
         14.8, 7.19427680969, 15.9156522751
           15, 8.10059452057, 16.8363876343
         15.2,  9.0562953949,  17.628118515
         15.4, 10.0470962524, 18.4489269257
         15.6, 11.0924625397, 19.3149394989
         15.8, 12.1775102615, 20.1927700043
           16, 13.3204145432, 21.0040187836
         16.2, 14.4986867905, 21.8403701782
         16.4, 15.7348909378, 22.7178440094
         16.6, 17.0109367371, 23.5439739227
         16.8, 18.3411579132, 24.3834114075
           17, 19.7114315033, 25.2481231689
         17.2, 21.1370353699,    26.0826931
         17.4, 22.6275272369, 26.9379882812
         17.6,   24.15675354, 27.8086147308
