Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, 6.16095485384e-06, 0.201122447848, 0.148491621017, 7.53505128159e-06, -12.7403087616, 5092.70410156, -4.36387681961, -0.505279839039
        0.001, -0.000179045615369, 0.200752601027, 0.147785708308, -0.77618342638, -15.7269964218, 5092.69580078, -4.32028913498, -0.376398801804
        0.002, -0.000355078082066, 0.200609669089, 0.147615864873, -3.77762365341, -18.9752120972,  5092.6953125, -4.29084920883, -0.242388144135
        0.003, -0.000512436847202, 0.200462460518, 0.147431999445, -8.33738613129, -22.4206523895, 5092.69335938, -4.25951528549, -0.101610600948
        0.004, -0.000644448620733, 0.200318008661, 0.147240385413, -14.1123666763, -25.9361228943, 5092.68896484, -4.22743177414, 0.0410070084035
        0.005, -0.000746532576159, 0.200184598565, 0.147047162056, -20.6764621735, -29.4337348938, 5092.68310547, -4.19544219971, 0.182272017002
        0.006, -0.000816701562144, 0.200058594346, 0.146855846047,  -27.52277565, -32.8657035828, 5092.67480469, -4.1640086174, 0.320670217276
        0.007, -0.000855755992234, 0.199933826923, 0.146668031812, -34.1467933655, -36.2058792114, 5092.66503906, -4.13337278366, 0.455535262823
        0.008, -0.000866953108925, 0.199806600809, 0.146484538913, -40.126373291, -39.4381332397, 5092.65429688, -4.10367631912, 0.586526870728
        0.009, -0.000855363556184, 0.199675291777, 0.146305829287, -45.1648101807, -42.5509681702, 5092.64208984, -4.07501840591, 0.713390290737
         0.01, -0.0008271089755, 0.199539959431, 0.146132335067, -49.1018600464, -45.5356636047, 5092.62890625, -4.0474729538, 0.835875511169
        0.011, -0.000788623758126, 0.199401751161, 0.145964428782, -51.9044761658, -48.3862609863, 5092.61523438, -4.0210943222, 0.953744709492
        0.012, -0.000746023375541, 0.199262499809, 0.145802408457, -53.6456718445, -51.1004714966, 5092.60107422, -3.99590682983, 1.06682777405
        0.013, -0.00070462183794, 0.199124246836, 0.145646393299, -54.4769668579, -53.6809539795, 5092.58642578, -3.97189307213, 1.17509675026
        0.014, -0.000668617896736, 0.198989018798, 0.145496279001, -54.5985336304, -56.1362915039, 5092.57128906, -3.94898509979, 1.27873146534
        0.015, -0.00064094690606, 0.198858633637, 0.145351588726, -54.229473114, -58.4810295105, 5092.55615234, -3.92706131935, 1.37814569473
        0.016, -0.000623303174507, 0.198734477162, 0.145211622119, -53.5787658691, -60.7340736389, 5092.54101562, -3.90596055984, 1.47394645214
        0.017, -0.000616238510702, 0.198617473245, 0.145075395703, -52.8463096619, -62.9185752869, 5092.52539062, -3.88548159599,  1.5669273138
        0.018, -0.000619300699327, 0.19850794971, 0.144941806793, -52.1942405701, -65.0574874878, 5092.51025391,  -3.865421772, 1.65790832043
        0.019, -0.000631291943137, 0.198405608535, 0.144809782505, -51.7425041199, -67.1708831787, 5092.49560547, -3.84560108185, 1.74762821198
         0.02, -0.000650515547022, 0.198309600353, 0.144678428769, -51.5683059692, -69.274017334, 5092.48095703, -3.82588005066, 1.83666217327
        0.021, -0.000675020506606, 0.19821883738, 0.144547149539, -51.7030944824, -71.3756942749, 5092.46728516, -3.80617547035, 1.92535626888
        0.022, -0.000702818739228, 0.198132142425, 0.144415587187, -52.1532859802, -73.4803848267, 5092.45458984,  -3.786444664, 2.01389598846
        0.023, -0.000731998006813, 0.198048382998, 0.144283592701, -52.8987083435, -75.5880432129, 5092.44238281, -3.76668405533, 2.10230088234
        0.024, -0.000760855851695, 0.197966501117, 0.144151255488, -53.8992538452, -77.6951828003, 5092.43212891, -3.74692153931, 2.19046163559
        0.025, -0.000787983241025, 0.197885677218, 0.144018784165, -55.1012039185, -79.7959289551, 5092.42285156, -3.72720742226, 2.27818083763
        0.026, -0.000812314159703, 0.197805255651, 0.143886461854, -56.4432945251,  -81.88306427, 5092.41503906, -3.70760464668,  2.3652100563
        0.027, -0.000833143887576, 0.197724819183, 0.143754690886, -57.8622665405, -83.9488830566, 5092.40966797, -3.68818044662, 2.45128107071
        0.028, -0.000850118638482, 0.197644144297, 0.143623828888, -59.2976417542, -85.9859619141, 5092.40576172, -3.66900134087, 2.53613424301
        0.029, -0.000863202498294, 0.19756321609, 0.143494218588, -60.6956520081, -87.9876708984, 5092.40429688, -3.65012645721, 2.61953783035
         0.03, -0.000872627424542, 0.197482123971, 0.14336617291, -62.012046814, -89.9486160278, 5092.40478516, -3.63160443306, 2.70130300522
        0.031, -0.000878832070157, 0.19740113616, 0.143239945173, -63.2138710022, -91.8648681641, 5092.40771484, -3.61347198486, 2.78129172325
        0.032, -0.000882395426743, 0.19732055068, 0.143115699291, -64.2800598145, -93.7340316772, 5092.41308594, -3.59575104713,  2.8594212532
        0.033, -0.000883972039446, 0.197240754962, 0.142993554473, -65.2011413574, -95.555229187, 5092.42089844, -3.57845115662, 2.93566155434
        0.034, -0.00088423199486, 0.197162136436, 0.14287352562, -65.9780349731, -97.3289489746, 5092.43066406, -3.5615696907, 3.01003170013
        0.035, -0.000883810746018, 0.197085052729, 0.142755582929, -66.620300293, -99.0568237305, 5092.44335938, -3.54509329796, 3.08259105682
        0.036, -0.000883269822225, 0.197009801865, 0.142639651895, -67.1440429688, -100.741386414, 5092.45849609, -3.52900052071, 3.15343213081
        0.037, -0.000883070635609, 0.196936637163, 0.142525598407, -67.5696716309, -102.385772705, 5092.47607422, -3.51326489449, 3.22266793251
        0.038, -0.000883560045622, 0.196865737438, 0.142413288355, -67.9197540283, -103.993438721, 5092.49609375, -3.49785637856, 3.29042458534
        0.039, -0.000884967157617, 0.196797147393, 0.142302557826, -68.2170639038, -105.567893982, 5092.51855469, -3.48274421692, 3.35682964325
         0.04, -0.000887409376446, 0.196730896831, 0.142193242908, -68.483039856, -107.112495422, 5092.54296875, -3.46789884567,  3.4220058918
        0.041, -0.00089090585243, 0.196666896343, 0.142085209489, -68.7365646362, -108.630264282, 5092.56982422, -3.45329380035, 3.48606467247
        0.042, -0.00089539506007, 0.196605041623, 0.141978308558, -68.9932327271, -110.123786926, 5092.59863281, -3.43890571594, 3.54910111427
        0.043, -0.000900755694602, 0.196545138955, 0.141872435808, -69.2649230957, -111.59513092, 5092.62939453, -3.42471623421, 3.61119246483
        0.044, -0.000906827684958, 0.196487024426, 0.141767516732, -69.5597763062, -113.045852661, 5092.66259766, -3.41071128845, 3.67239713669
