Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1,Fy_L1,Fz_L1,Mx_L1,Mz_L1
            0, -0.0011014736956, 0.20111772418, 0.148498013616, 61.9425926208, -12.7095575333, 5092.75683594, -4.36895799637, -0.514416337013
        0.001, -0.00151937850751, 0.200609087944, 0.147747009993, 56.5367012024, -16.790512085, 5092.67871094, -4.3161239624, -0.336937069893
        0.002, -0.00190444639884, 0.200435310602, 0.147526606917, 49.4099388123, -20.8181304932, 5092.59082031, -4.2796254158, -0.165289357305
        0.003, -0.00225410982966, 0.200267791748, 0.147309854627,  40.979133606, -24.7623023987, 5092.50927734, -4.24385976791, 0.00300290505402
        0.004, -0.00256400834769, 0.200106278062, 0.147096693516, 31.4527797699, -28.6250076294, 5092.43505859, -4.20881223679, 0.168039083481
        0.005, -0.00283068604767, 0.199950441718, 0.146886974573, 21.0486049652, -32.4081001282, 5092.36914062, -4.17446470261, 0.32990282774
        0.006, -0.00305160391144, 0.199799895287, 0.146680548787, 9.98912620544, -36.1133232117,     5092.3125, -4.14080095291, 0.488663166761
        0.007, -0.00322513631545, 0.199654251337, 0.146477296948, -1.5024317503, -39.7423286438, 5092.26660156, -4.10780572891, 0.64437609911
        0.008, -0.00335055799223, 0.199513107538, 0.146277099848, -13.2060575485, -43.2966766357, 5092.23193359, -4.07546424866, 0.797086417675
        0.009, -0.00342801236548, 0.199376046658, 0.146079868078, -24.9086380005, -46.7778396606, 5092.20849609, -4.04376268387, 0.946829795837
         0.01, -0.00345847057179, 0.199242651463, 0.14588548243, -36.4073524475, -50.1872215271, 5092.19677734, -4.01268720627, 1.09363472462
        0.011, -0.00344367534854, 0.199112534523, 0.145693868399, -47.5127258301, -53.5261535645, 5092.19677734, -3.98222589493, 1.23752462864
        0.012, -0.00338607584126, 0.198985308409, 0.145504966378, -58.051322937, -56.7959213257, 5092.20849609, -3.9523665905, 1.37851965427
        0.013, -0.0032887540292, 0.198860600591, 0.145318686962, -67.868019104, -59.997756958, 5092.23193359, -3.92309761047, 1.51663827896
        0.014, -0.00315534207039, 0.198738098145, 0.145134985447, -76.8278274536, -63.1328468323, 5092.26611328, -3.89440774918, 1.65189909935
        0.015, -0.00298993499018, 0.198617473245, 0.144953817129, -84.8173522949, -66.2023544312, 5092.31054688, -3.86628651619, 1.78432095051
        0.016, -0.00279699917883, 0.198498472571, 0.144775122404, -91.7457046509, -69.2074203491, 5092.36474609, -3.83872318268, 1.91392481327
        0.017, -0.00258127949201, 0.198380842805, 0.144598871469, -97.5450668335, -72.1491622925, 5092.42724609, -3.81170797348, 2.04073357582
        0.018, -0.0023477030918, 0.198264405131, 0.144425019622, -102.170768738, -75.0286712646, 5092.49755859, -3.7852306366, 2.16477322578
        0.019, -0.00210128864273, 0.198148995638, 0.144253581762, -105.601020813, -77.8470535278, 5092.57470703, -3.75928139687, 2.28607225418
         0.02, -0.00184705352876, 0.198034480214, 0.144084483385, -107.836227417, -80.6053924561, 5092.65722656, -3.73385071754, 2.40466213226
        0.021, -0.00158992840443, 0.197920799255, 0.143917739391, -108.897941589, -83.3047714233, 5092.74414062, -3.70892930031, 2.52057766914
        0.022, -0.00133467488922, 0.197807908058, 0.14375333488, -108.827545166, -85.9462890625, 5092.83447266, -3.68450760841, 2.63385725021
        0.023, -0.0010858111782, 0.197695806623, 0.143591240048, -107.684661865, -88.531036377, 5092.92626953, -3.66057610512, 2.74454164505
        0.024, -0.000847543240525, 0.197584494948, 0.143431454897, -105.545227051, -91.0601043701, 5093.01953125, -3.63712573051, 2.85267567635
        0.025, -0.00062370597152, 0.197474047542, 0.143273964524, -102.499504089, -93.534614563, 5093.11181641, -3.61414718628, 2.95830726624
        0.026, -0.000417712202761, 0.197364553809, 0.14311876893, -98.6498565674, -95.9556732178,   5093.203125, -3.59163093567, 3.06148815155
        0.027, -0.000232511229115, 0.197256103158, 0.142965838313, -94.1083908081, -98.3244094849, 5093.29248047, -3.56956768036, 3.16227293015
        0.028, -7.05573766027e-05, 0.197148829699, 0.142815172672, -88.9945907593, -100.641952515, 5093.37792969, -3.54794836044, 3.26072025299
        0.029, 6.62115053274e-05, 0.197042882442, 0.142666757107, -83.4329147339, -102.909446716, 5093.45996094, -3.5267636776, 3.35689210892
         0.03, 0.000176385830855,  0.1969383955, 0.142520561814, -77.5503387451, -105.128036499, 5093.53662109, -3.50600385666, 3.45085406303
        0.031, 0.00025908605312, 0.196835547686, 0.142376601696, -71.4740600586, -107.298873901, 5093.60839844, -3.4856595993, 3.54267406464
        0.032, 0.000313955155434, 0.19673448801, 0.142234817147, -65.329208374, -109.423110962, 5093.67382812, -3.46572184563, 3.63242292404
        0.033, 0.000341142120305, 0.196635395288, 0.142095223069, -59.2367401123, -111.50189209, 5093.73339844, -3.44618105888, 3.72017407417
        0.034, 0.00034127724939, 0.19653840363, 0.141957759857, -53.3114929199, -113.536354065, 5093.78613281, -3.42702794075, 3.80600166321
        0.035, 0.000315439800033, 0.196443662047, 0.141822427511, -47.6604156494, -115.527633667, 5093.83251953, -3.4082531929,   3.889980793
        0.036, 0.000265119306277, 0.196351334453, 0.141689166427, -42.3810081482, -117.476837158, 5093.87207031, -3.38984775543, 3.97218632698
        0.037, 0.000192171020899, 0.196261510253, 0.141557961702, -37.5600357056, -119.385063171, 5093.90527344, -3.37180280685, 4.05269241333
        0.038, 9.87670064205e-05, 0.196174308658, 0.141428783536, -33.2724533081, -121.253372192, 5093.93164062, -3.35410928726,  4.1315703392
        0.039, -1.26564827951e-05, 0.196089833975, 0.141301572323, -29.5806007385, -123.082809448, 5093.95214844, -3.33675861359, 4.20888900757
         0.04, -0.000139453797601, 0.196008145809, 0.14117628336, -26.5336647034, -124.87437439, 5093.96728516, -3.3197426796, 4.28471422195
        0.041, -0.000278826133581, 0.195929288864, 0.141052901745, -24.1673908234, -126.629043579, 5093.97705078, -3.30305314064, 4.35910606384
        0.042, -0.000427877879702, 0.195853292942, 0.140931352973, -22.5040473938, -128.347732544, 5093.98193359, -3.28668236732, 4.43212032318
        0.043, -0.000583672313951, 0.195780158043, 0.140811622143, -21.5526294708, -130.031356812, 5093.98291016, -3.27062273026,  4.5038061142
        0.044, -0.000743285461795, 0.195709899068, 0.140693634748, -21.3092937469, -131.680725098, 5093.98046875, -3.25486707687, 4.57420825958
        0.045, -0.000903857173398, 0.195642441511, 0.140577375889, -21.7579956055, -133.296661377, 5093.97509766, -3.23940873146,  4.6433634758
        0.046, -0.00106263929047, 0.195577770472, 0.140462785959, -22.8713245392, -134.879928589, 5093.96728516, -3.2242410183, 4.71130466461
        0.047, -0.00121703871991, 0.195515796542, 0.140349805355, -24.6114826202, -136.431228638, 5093.95800781, -3.20935773849, 4.77805662155
        0.048, -0.00136465730611, 0.195456445217, 0.140238419175, -26.931427002, -137.95123291, 5093.94824219, -3.19475293159, 4.84363985062
        0.049, -0.00150332448538, 0.195399582386, 0.140128567815, -29.7761058807, -139.440597534,     5093.9375, -3.18042135239,  4.9080696106
         0.05, -0.00163112650625, 0.195345118642, 0.140020221472, -33.0837974548, -140.899887085, 5093.92773438, -3.16635775566, 4.97135639191
        0.051, -0.0017464280827, 0.195292934775, 0.139913335443, -36.7874908447, -142.329696655, 5093.91845703, -3.15255665779, 5.03350687027
        0.052, -0.00184788939077, 0.195242866874, 0.139807865024, -40.816318512, -143.730545044, 5093.91064453, -3.13901376724, 5.09452533722
        0.053, -0.00193447608035, 0.195194780827, 0.139703795314, -45.0969657898, -145.102935791, 5093.90527344, -3.12572431564, 5.15441274643
        0.054, -0.00200546439737, 0.195148557425, 0.139601066709, -49.5550956726, -146.447357178, 5093.90185547, -3.11268401146,  5.2131690979
        0.055, -0.00206043943763, 0.195104002953, 0.139499664307, -54.1167030334, -147.764282227, 5093.90087891, -3.09988856316, 5.27079200745
